timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:36:10.352427,Piso en El Mirador - Grillero,380.000 €,El Mirador-El Grillero (Arganda del Rey),2 habs.,2 baños,88 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.420579,Loft en Apóstol Santiago,270.000 €,Piovera (Distrito Hortaleza. Madrid Capital),1 hab.,1 baño,63 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.488666,"Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas, S/N",505.900 €,El Cañaveral (Distrito Vicálvaro. Madrid Capital),3 habs.,2 baños,115 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.557904,Finca rústica en Fuente el Saz de Jarama,350.000 €,Fuente el Saz de Jarama,1 hab.,2 baños,100 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.623973,Chalet en Pozuelo de Alarcón,1.350.000 €,Estación-Zona Norte (Pozuelo de Alarcón),5 habs.,6 baños,286 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.691454,Dúplex en calle de los Robles,479.000 €,Las Retamas-Prado Santo Domingo-Ensanche Sur (Alcorcón),4 habs.,3 baños,156 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.764155,"Chalet en Álamo, El",315.000 €,El Álamo,5 habs.,2 baños,184 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.836152,"Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas, S/N",489.900 €,El Cañaveral (Distrito Vicálvaro. Madrid Capital),3 habs.,2 baños,107 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:18.032103,Chalet en Las Vegas,790.000 €,Colmenar de Oreja,3 habs.,5 baños,750 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.107515,Piso en Almagro,3.350.000 €,Almagro (Distrito Chamberí. Madrid Capital),4 habs.,5 baños,240 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.183966,Piso en Parque Roma-Coronas,235.000 €,Parque Roma-Coronas (San Fernando de Henares),3 habs.,1 baño,97 m²,https://www.pisos.com/comprar/piso-parque_roma_coronas-52506725439_100200/
