titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Apartamento en calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),13500.0,5.0,5.0,411.0,411.0,,https://www.pisos.com/alquilar/apartamento-jeronimos28014-42548141697_101800/,True
Apartamento en Paseo del Pintor Rosales,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),13995.0,6.0,5.0,360.0,360.0,,https://www.pisos.com/alquilar/apartamento-moncloa_aravaca_arguelles28008-50090878601_101800/,True
Ático en Castellana,Castellana (Distrito Barrio de Salamanca. Madrid Capital),5900.0,2.0,2.0,121.0,121.0,,https://www.pisos.com/alquilar/atico-barrio_de_salamanca_castellana28001-52511269759_101800/,True
Apartamento en El Viso,El Viso (Distrito Chamartín. Madrid Capital),6800.0,5.0,6.0,256.0,256.0,,https://www.pisos.com/alquilar/apartamento-chamartin_el_viso28002-52522972244_101800/,True
Casa en La Moraleja,La Moraleja (La Moraleja),9000.0,5.0,4.0,600.0,600.0,,https://www.pisos.com/alquilar/casa-la_moraleja_distrito28109-44224183893_101800/,True
Piso en Recoletos,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),6900.0,3.0,4.0,294.0,294.0,,https://www.pisos.com/alquilar/piso-recoletos28001-39201528358_101800/,True
Casa en Valdecabañas,Valdecabañas (Boadilla del Monte),5800.0,6.0,8.0,625.0,625.0,,https://www.pisos.com/alquilar/casa-boadilla_del_monte_valdecabanas-50835170573_101800/,True
Chalet en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),9500.0,5.0,6.0,650.0,650.0,,https://www.pisos.com/alquilar/chalet-ciudalcampo_fuente_del_fresno28707-51751518282_108500/,True
Casa en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),7500.0,5.0,6.0,350.0,350.0,,https://www.pisos.com/alquilar/casa-la_moraleja_encinar_de_los_reyes28055-50042461268_101800/,True
Piso en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),7000.0,4.0,4.0,335.0,335.0,,https://www.pisos.com/alquilar/piso-nueva_espana28016-38409180214_101800/,True
Ático en calle de Génova,Justicia-Chueca (Distrito Centro. Madrid Capital),6750.0,3.0,3.0,191.0,191.0,,https://www.pisos.com/alquilar/atico-justicia_chueca28004-38384716743_101800/,True
